City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Kapaa,22.0752,-159.319,59.0,82,13,6.91,US,few clouds
1,Sitka,57.0531,-135.33,35.6,93,90,4.61,US,overcast clouds
2,Mataura,-46.1927,168.8643,49.21,94,3,1.16,NZ,clear sky
3,Aklavik,68.2191,-135.0107,-27.4,68,20,1.57,CA,few clouds
4,Ushuaia,-54.8,-68.3,51.8,50,40,19.57,AR,scattered clouds
5,Ngorongoro,-3.2397,35.4875,58.32,97,80,4.18,TZ,light rain
6,Lavos,40.0936,-8.8283,55.0,71,75,21.85,PT,broken clouds
7,Lagoa,39.05,-27.9833,59.58,90,100,20.45,PT,overcast clouds
8,Wewak,-3.5534,143.6268,79.12,82,100,5.68,PG,overcast clouds
9,Busselton,-33.65,115.3333,60.01,93,100,1.01,AU,light rain
10,Bengkulu,-3.8004,102.2655,76.86,85,78,6.55,ID,broken clouds
11,Hobart,-42.8794,147.3294,57.2,88,90,5.75,AU,overcast clouds
12,Sao Felix Do Xingu,-6.6447,-51.995,79.63,78,100,1.72,BR,overcast clouds
13,Luderitz,-26.6481,15.1594,77.23,46,0,30.27,NA,clear sky
14,Yumen,40.2833,97.2,27.95,74,54,3.18,CN,broken clouds
15,Zyryanka,65.75,150.85,-22.54,82,9,8.77,RU,clear sky
16,Punta Arenas,-53.15,-70.9167,51.8,50,40,18.41,CL,scattered clouds
17,Svetlogorsk,52.6333,29.7333,6.08,93,43,8.66,BY,scattered clouds
18,Huamachuco,-7.8,-78.0667,60.42,60,96,6.44,PE,overcast clouds
19,Rikitea,-23.1203,-134.9692,77.47,74,100,13.2,PF,overcast clouds
20,Cape Town,-33.9258,18.4232,78.01,65,0,18.41,ZA,clear sky
21,Yellowknife,62.456,-114.3525,-43.01,73,1,2.3,CA,fog
22,Tasiilaq,65.6145,-37.6368,32.0,93,90,32.21,GL,snow
23,Khatanga,71.9667,102.5,-36.92,78,0,5.12,RU,clear sky
24,Pangnirtung,66.1451,-65.7125,14.0,85,75,4.61,CA,broken clouds
25,Vaini,-21.2,-175.2,77.0,100,75,4.61,TO,broken clouds
26,Hermanus,-34.4187,19.2345,73.0,77,1,5.01,ZA,clear sky
27,Castro,-24.7911,-50.0119,76.21,51,0,5.57,BR,clear sky
28,Roma,43.2128,-75.4557,28.0,54,90,9.22,US,overcast clouds
29,Ketchikan,55.3422,-131.6461,35.6,100,90,3.44,US,light snow
30,Cabo San Lucas,22.8909,-109.9124,62.6,67,1,3.44,MX,clear sky
31,Hithadhoo,-0.6,73.0833,81.99,76,100,14.25,MV,overcast clouds
32,Tual,-5.6667,132.75,83.91,75,100,22.95,ID,overcast clouds
33,Albany,42.6001,-73.9662,35.01,37,76,5.01,US,light snow
34,Mnogovershinnyy,53.9353,139.9242,-9.29,91,100,7.56,RU,overcast clouds
35,Ishigaki,24.3448,124.1572,70.45,65,0,8.77,JP,clear sky
36,Victoria,22.2855,114.1577,68.0,69,0,4.54,HK,clear sky
37,Sao Filipe,14.8961,-24.4956,71.1,71,2,15.68,CV,clear sky
38,Brandon,27.9378,-82.2859,70.0,94,90,7.83,US,mist
39,Nouadhibou,20.931,-17.0347,71.6,46,0,20.71,MR,sand
40,Narsaq,60.9167,-46.05,32.0,29,1,16.11,GL,clear sky
41,Faanui,-16.4833,-151.75,81.37,69,0,10.25,PF,clear sky
42,Portland,45.5234,-122.6762,42.01,87,75,4.61,US,broken clouds
43,Saint-Philippe,-21.3585,55.7679,82.4,74,40,8.05,RE,light rain
44,Port Elizabeth,-33.918,25.5701,82.4,65,20,5.75,ZA,few clouds
45,San Jose,37.3394,-121.895,44.01,81,20,2.06,US,few clouds
46,Bredasdorp,-34.5322,20.0403,78.8,53,0,16.11,ZA,clear sky
47,Pevek,69.7008,170.3133,-1.84,86,100,1.32,RU,overcast clouds
48,Qaanaaq,77.484,-69.3632,9.66,87,100,7.31,GL,overcast clouds
49,Saint George,37.1041,-113.5841,35.6,55,1,4.61,US,clear sky
50,Butaritari,3.0707,172.7902,80.89,81,91,21.9,KI,overcast clouds
51,Nome,64.5011,-165.4064,14.0,85,90,4.61,US,overcast clouds
52,Yulin,22.6333,110.15,66.11,68,0,3.49,CN,clear sky
53,Saskylakh,71.9167,114.0833,-37.82,80,69,4.61,RU,broken clouds
54,Coihaique,-45.5752,-72.0662,64.4,52,0,9.22,CL,clear sky
55,Sepuka,-4.75,34.5333,69.78,74,95,3.36,TZ,overcast clouds
56,Belen,36.4891,36.2233,62.6,63,0,11.5,TR,clear sky
57,Camana,-16.6228,-72.7111,75.54,66,94,9.51,PE,overcast clouds
58,Japura,-0.3167,102.35,75.61,84,75,1.01,ID,broken clouds
59,Palu,-0.8917,119.8707,76.08,78,100,1.03,ID,overcast clouds
60,Mount Isa,-20.7333,139.5,73.4,100,40,11.5,AU,moderate rain
61,Bambous Virieux,-20.3428,57.7575,80.6,74,20,8.05,MU,few clouds
62,Thompson,55.7435,-97.8558,-34.6,67,75,12.66,CA,snow
63,Ust-Kuyga,70.0167,135.6,-28.08,82,100,3.38,RU,overcast clouds
64,Port Lincoln,-34.7333,135.8667,61.07,81,85,12.88,AU,overcast clouds
65,Havoysund,70.9963,24.6622,26.6,63,40,13.8,NO,light snow
66,Islamkot,24.6997,70.177,65.46,25,0,7.67,PK,clear sky
67,Leningradskiy,69.3833,178.4167,-13.7,81,87,6.6,RU,overcast clouds
68,Upernavik,72.7868,-56.1549,20.3,81,100,6.55,GL,overcast clouds
69,Bluff,-46.6,168.3333,54.27,86,9,1.45,NZ,clear sky
70,Riyadh,24.6877,46.7219,68.0,45,75,5.75,SA,broken clouds
71,Caceres,39.522,-6.3748,51.01,85,96,5.01,ES,overcast clouds
72,Iqaluit,63.7506,-68.5145,21.2,86,75,14.97,CA,broken clouds
73,Samarai,-10.6167,150.6667,82.49,77,100,6.17,PG,overcast clouds
74,Terrasini,38.146,13.0844,77.0,22,0,12.66,IT,clear sky
75,Norman Wells,65.282,-126.8329,-38.2,74,40,4.61,CA,scattered clouds
76,Kahului,20.8947,-156.47,62.6,72,75,3.44,US,broken clouds
77,Beira,-19.8436,34.8389,86.0,74,75,10.36,MZ,broken clouds
78,Rudnyy,52.9594,63.1206,33.8,93,90,15.66,KZ,light snow
79,Puerto Ayora,-0.7393,-90.3518,82.4,74,40,17.27,EC,scattered clouds
80,Sorland,67.667,12.6934,34.75,83,100,26.62,NO,overcast clouds
81,Chokurdakh,70.6333,147.9167,-16.37,87,99,3.94,RU,overcast clouds
82,Severo-Kurilsk,50.6789,156.125,19.58,94,100,16.98,RU,light snow
83,Itarema,-2.9248,-39.9167,88.07,55,61,15.73,BR,broken clouds
84,Avarua,-21.2078,-159.775,75.2,94,15,2.3,CK,light rain
85,Jamestown,42.097,-79.2353,19.0,62,40,19.57,US,scattered clouds
86,Gladstone,-23.85,151.25,78.8,69,91,3.44,AU,overcast clouds
87,Dikson,73.5069,80.5464,-29.18,86,34,10.02,RU,scattered clouds
88,Stavern,59.0,10.0333,24.01,67,5,6.91,NO,clear sky
89,Laguna,38.421,-121.4238,39.99,93,1,1.86,US,mist
90,Longyearbyen,78.2186,15.6401,23.0,74,75,9.22,SJ,broken clouds
91,Nhulunbuy,-12.2333,136.7667,80.6,83,90,14.97,AU,overcast clouds
92,Barrow,71.2906,-156.7887,-2.2,71,90,10.36,US,overcast clouds
93,Bethel,41.3712,-73.414,39.0,44,1,8.05,US,clear sky
94,Cidreira,-30.1811,-50.2056,75.22,63,57,11.12,BR,broken clouds
95,Melfi,40.9965,15.6514,53.6,87,0,8.05,IT,clear sky
96,Amiens,49.9,2.3,46.99,93,90,10.36,FR,overcast clouds
97,Andros Town,24.7,-77.7667,78.8,78,20,17.27,BS,few clouds
98,Port Alfred,-33.5906,26.891,77.0,86,15,3.0,ZA,few clouds
99,Yazd,31.8972,54.3675,57.2,24,0,4.61,IR,clear sky
100,Kathu,7.9178,98.3332,82.4,69,20,5.75,TH,few clouds
101,Talawakele,6.9371,80.6581,62.15,99,100,4.36,LK,overcast clouds
102,Zhigansk,66.7697,123.3711,-41.3,80,43,10.13,RU,scattered clouds
103,Aligudarz,33.4006,49.6949,40.35,72,95,2.89,IR,overcast clouds
104,Ribeira Grande,38.5167,-28.7,60.8,88,75,20.71,PT,broken clouds
105,Lampazos De Naranjo,27.0167,-100.5167,62.67,58,0,7.36,MX,clear sky
106,Port Keats,-14.25,129.55,83.12,79,70,14.63,AU,light rain
107,Kalmunai,7.4167,81.8167,76.89,89,90,10.8,LK,overcast clouds
108,Ostrovnoy,68.0531,39.5131,15.39,95,100,12.64,RU,light snow
109,Pacific Grove,36.6177,-121.9166,44.01,87,1,5.75,US,clear sky
110,Asau,46.4333,26.4,30.99,76,100,2.39,RO,overcast clouds
111,Mar Del Plata,-38.0023,-57.5575,68.0,68,75,13.8,AR,broken clouds
112,Tuktoyaktuk,69.4541,-133.0374,-18.4,76,90,17.27,CA,snow
113,Araouane,18.9048,-3.5265,87.28,13,100,14.79,ML,overcast clouds
114,San Andres,12.5847,-81.7006,84.2,79,40,12.66,CO,scattered clouds
115,Alugan,12.2188,125.4808,79.48,86,63,14.79,PH,broken clouds
116,Yantal,56.8471,105.2542,6.98,93,100,4.21,RU,light snow
117,Hobyo,5.3505,48.5268,78.26,71,2,12.19,SO,clear sky
118,Fortuna,40.5982,-124.1573,45.0,100,90,3.04,US,overcast clouds
119,Tahe,52.3333,124.7333,-14.04,87,67,3.58,CN,broken clouds
120,Hambantota,6.1241,81.1185,73.4,100,90,6.91,LK,overcast clouds
121,Camacari,-12.6975,-38.3242,87.8,66,75,20.71,BR,broken clouds
122,Hilo,19.7297,-155.09,61.0,67,1,6.91,US,clear sky
123,Sur,22.5667,59.5289,65.34,59,0,7.09,OM,clear sky
124,Kyabram,-36.3167,145.05,62.01,64,8,8.12,AU,clear sky
125,Nuuk,64.1835,-51.7216,24.8,42,1,26.46,GL,snow
126,Provideniya,64.3833,-173.3,2.03,92,64,4.23,RU,broken clouds
127,Lasa,46.6166,10.7002,44.01,93,20,10.36,IT,few clouds
128,Ponta Do Sol,32.6667,-17.1,62.6,51,40,12.66,PT,scattered clouds
129,Geraldton,-28.7667,114.6,69.8,88,90,27.63,AU,overcast clouds
130,Sobolevo,54.4299,31.8996,1.51,93,100,9.42,RU,overcast clouds
131,Mahebourg,-20.4081,57.7,80.6,74,20,8.05,MU,few clouds
132,Emba,48.8264,58.1442,15.42,94,100,20.2,KZ,overcast clouds
133,Vila Velha,-20.3297,-40.2925,87.8,55,20,9.22,BR,few clouds
134,Korla,41.7597,86.1469,29.41,83,56,2.44,CN,broken clouds
135,Povenets,62.8487,34.8262,8.62,94,100,8.28,RU,light snow
136,Mount Gambier,-37.8333,140.7667,55.4,100,90,10.36,AU,overcast clouds
137,Vao,-22.6667,167.4833,77.31,87,1,8.12,NC,clear sky
138,Ancud,-41.8697,-73.8203,77.0,53,0,10.36,CL,clear sky
139,Fort Nelson,58.8053,-122.7002,-36.4,67,20,2.3,CA,few clouds
140,Huari,-9.3333,-77.2333,52.34,65,90,5.64,PE,light rain
141,Solnechnyy,50.7214,136.6319,-6.25,89,100,2.48,RU,overcast clouds
142,New Norfolk,-42.7826,147.0587,57.2,88,90,5.75,AU,overcast clouds
143,Dhidhdhoo,6.8833,73.1,82.17,75,79,10.67,MV,broken clouds
144,La Ronge,55.1001,-105.2842,-32.8,68,0,5.75,CA,clear sky
145,Tura,25.5198,90.2201,57.87,69,38,3.78,IN,scattered clouds
146,Shimoda,34.6667,138.95,52.03,56,0,15.9,JP,clear sky
147,Souillac,-20.5167,57.5167,80.6,74,20,8.05,MU,few clouds
148,Charters Towers,-20.1,146.2667,75.4,86,97,7.85,AU,overcast clouds
149,Comodoro Rivadavia,-45.8667,-67.5,60.8,67,75,14.97,AR,broken clouds
150,Nushki,29.5542,66.0215,55.11,30,0,1.83,PK,clear sky
151,Altay,47.8667,88.1167,24.21,88,100,1.66,CN,light snow
152,Airai,-8.9266,125.4092,61.0,97,100,1.97,TL,overcast clouds
153,Noumea,-22.2763,166.4572,78.01,94,75,2.3,NC,broken clouds
154,Ballina,-28.8667,153.5667,71.6,88,91,2.51,AU,light rain
155,Marfino,55.7028,37.3822,3.99,66,75,11.18,RU,broken clouds
156,Muros,42.7762,-9.0603,53.01,59,1,8.99,ES,clear sky
157,Beloha,-25.1667,45.05,80.55,73,10,9.08,MG,light rain
158,Chapais,49.7834,-74.8492,17.6,73,90,14.97,CA,light snow
159,Teya,60.3778,92.6267,15.4,93,100,10.38,RU,light snow
160,Kodiak,57.79,-152.4072,23.0,74,1,4.61,US,clear sky
161,Pawai,24.2667,80.1667,58.19,40,0,5.5,IN,clear sky
162,Napoleon,41.3923,-84.1252,10.99,61,20,10.36,US,few clouds
163,Chenzhou,25.8,113.0333,60.51,67,4,1.28,CN,clear sky
164,Georgetown,5.4112,100.3354,86.0,70,20,3.44,MY,few clouds
165,Kiomboi,-4.2667,34.3667,69.57,79,98,2.59,TZ,moderate rain
166,Dunedin,-45.8742,170.5036,57.99,87,4,2.68,NZ,clear sky
167,Acarau,-2.8856,-40.12,88.02,55,80,16.91,BR,broken clouds
168,Namibe,-15.1961,12.1522,75.43,70,25,12.15,AO,scattered clouds
169,Poli,-3.3333,36.8,69.8,83,75,4.61,TZ,moderate rain
170,Khandyga,62.6667,135.6,-27.35,85,100,1.57,RU,overcast clouds
171,Felipe Carrillo Puerto,19.5833,-88.05,83.93,64,41,8.19,MX,scattered clouds
172,Klyuchi,52.2667,79.1667,26.64,96,38,15.32,RU,scattered clouds
173,Saldanha,-33.0117,17.9442,77.0,61,20,24.16,ZA,few clouds
174,Sambava,-14.2667,50.1667,79.79,79,25,2.64,MG,scattered clouds
175,Hamilton,39.1834,-84.5333,27.0,54,1,3.44,US,clear sky
176,Lata,40.1629,-8.3327,59.0,76,89,3.0,PT,overcast clouds
177,Flin Flon,54.7682,-101.865,-31.0,68,1,9.22,CA,clear sky
178,Langham,52.3668,-106.9679,-34.6,67,1,5.75,CA,clear sky
179,Byron Bay,-28.65,153.6167,71.6,88,100,2.21,AU,moderate rain
180,Prescott Valley,34.5894,-112.3252,42.01,49,0,6.71,US,clear sky
181,Puerto Madero,14.7208,-92.4215,78.8,73,1,4.61,MX,clear sky
182,Quatre Cocos,-20.2078,57.7625,80.6,74,20,8.05,MU,few clouds
183,Mawlaik,23.6333,94.4167,64.11,49,3,1.54,MM,clear sky
184,Tateyama,34.9833,139.8667,48.99,87,20,11.5,JP,few clouds
185,Baruun-Urt,46.6806,113.2792,-7.89,84,0,6.46,MN,clear sky
186,Saint Anthony,45.0205,-93.218,-0.4,55,40,13.8,US,scattered clouds
187,Arraial Do Cabo,-22.9661,-42.0278,75.2,73,75,4.61,BR,broken clouds
188,Verkhnyaya Inta,65.9811,60.3094,-28.44,85,50,8.99,RU,scattered clouds
189,Snyder,32.7179,-100.9176,50.0,29,1,19.57,US,clear sky
190,Banjar,-8.19,114.9675,78.8,94,20,4.61,ID,few clouds
191,Kavaratti,10.5669,72.642,81.0,69,0,10.78,IN,clear sky
192,Sal Rei,16.1833,-22.9167,73.4,53,75,24.16,CV,broken clouds
193,Atar,20.5169,-13.0499,75.96,19,33,19.01,MR,scattered clouds
194,Clyde River,70.4692,-68.5914,-14.8,76,40,3.44,CA,scattered clouds
