City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Wewak,PG,79.12,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
10,Bengkulu,ID,76.86,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
12,Sao Felix Do Xingu,BR,79.63,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
19,Rikitea,PF,77.47,overcast clouds,-23.1203,-134.9692,Pension Maro'i
20,Cape Town,ZA,78.01,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
25,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
27,Castro,BR,76.21,clear sky,-24.7911,-50.0119,CHACARA BAILLY
31,Hithadhoo,MV,81.99,overcast clouds,-0.6,73.0833,Scoop Guest House
32,Tual,ID,83.91,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
41,Faanui,PF,81.37,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
43,Saint-Philippe,RE,82.4,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
44,Port Elizabeth,ZA,82.4,few clouds,-33.918,25.5701,39 On Nile Guest House
46,Bredasdorp,ZA,78.8,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
50,Butaritari,KI,80.89,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
57,Camana,PE,75.54,overcast clouds,-16.6228,-72.7111,Hostal Morales
58,Japura,ID,75.61,broken clouds,-0.3167,102.35,Rumah mbah Jamah
59,Palu,ID,76.08,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
61,Bambous Virieux,MU,80.6,few clouds,-20.3428,57.7575,Casa Tia Villa
73,Samarai,PG,82.49,overcast clouds,-10.6167,150.6667,Nuli Sapi
74,Terrasini,IT,77.0,clear sky,38.146,13.0844,Florio Park Hotel
77,Beira,MZ,86.0,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
79,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
83,Itarema,BR,88.07,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
84,Avarua,CK,75.2,light rain,-21.2078,-159.775,Paradise Inn
86,Gladstone,AU,78.8,overcast clouds,-23.85,151.25,Highpoint International
91,Nhulunbuy,AU,80.6,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
94,Cidreira,BR,75.22,broken clouds,-30.1811,-50.2056,Hotel Castelo
97,Andros Town,BS,78.8,few clouds,24.7,-77.7667,Hanks place
98,Port Alfred,ZA,77.0,few clouds,-33.5906,26.891,The Halyards Hotel
100,Kathu,TH,82.4,few clouds,7.9178,98.3332,Novotel Phuket Resort
106,Port Keats,AU,83.12,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
107,Kalmunai,LK,76.89,overcast clouds,7.4167,81.8167,VS Villa
113,Araouane,ML,87.28,overcast clouds,18.9048,-3.5265,
114,San Andres,CO,84.2,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
115,Alugan,PH,79.48,broken clouds,12.2188,125.4808,JM Lodge
117,Hobyo,SO,78.26,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
121,Camacari,BR,87.8,broken clouds,-12.6975,-38.3242,Sítio Blasi
131,Mahebourg,MU,80.6,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
133,Vila Velha,BR,87.8,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
137,Vao,NC,77.31,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
138,Ancud,CL,77.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
143,Dhidhdhoo,MV,82.17,broken clouds,6.8833,73.1,Dhidhoo beach
147,Souillac,MU,80.6,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
148,Charters Towers,AU,75.4,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
153,Noumea,NC,78.01,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
157,Beloha,MG,80.55,light rain,-25.1667,45.05,
164,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
167,Acarau,BR,88.02,broken clouds,-2.8856,-40.12,castelo pizzaria
168,Namibe,AO,75.43,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
171,Felipe Carrillo Puerto,MX,83.93,scattered clouds,19.5833,-88.05,Hotel La Ceiba
173,Saldanha,ZA,77.0,few clouds,-33.0117,17.9442,Blue Bay Lodge
174,Sambava,MG,79.79,scattered clouds,-14.2667,50.1667,Melrose
181,Puerto Madero,MX,78.8,clear sky,14.7208,-92.4215,Hotel La Central
182,Quatre Cocos,MU,80.6,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
187,Arraial Do Cabo,BR,75.2,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
190,Banjar,ID,78.8,few clouds,-8.19,114.9675,The Hamsa Resort
191,Kavaratti,IN,81.0,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
193,Atar,MR,75.96,scattered clouds,20.5169,-13.0499,Oumou Elghoura
202,Ankazoabo,MG,79.36,overcast clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
205,Dingle,PH,75.36,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
215,Salalah,OM,75.2,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
217,Barra Patuca,HN,82.11,scattered clouds,15.8,-84.2833,
220,Sibolga,ID,77.86,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
222,Atuona,PF,80.29,broken clouds,-9.8,-139.0333,Villa Enata
225,San Isidro,PE,77.0,clear sky,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
228,Bumba,CD,89.13,few clouds,2.1833,22.4667,Hôtel Cape Town
233,Sao Miguel Do Araguaia,BR,82.6,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
234,Takoradi,GH,83.26,light rain,4.8845,-1.7554,Raybow International Hotel
236,Tabou,CI,82.56,light rain,4.423,-7.3528,hotêl doufoulougou
237,Muli,MV,81.66,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
239,Axim,GH,83.88,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
240,Kavieng,PG,81.86,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
243,Puerto Escondido,MX,82.4,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
248,Champerico,GT,80.6,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
251,Ilhabela,BR,76.84,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
253,Pitimbu,BR,89.6,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
255,Lugoba,TZ,80.2,broken clouds,-6.45,38.3333,
257,Upata,VE,86.59,overcast clouds,8.0086,-62.3989,Posada Villa Nela
259,Belmonte,BR,86.0,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
262,Basoko,CD,87.53,few clouds,1.2391,23.616,Flat Hotel La Benediction
268,Kongolo,CD,77.02,moderate rain,-5.3833,27.0,Hôtel Bouger Faire Bouger Rj Kanierra
272,Taoudenni,ML,80.13,broken clouds,22.6783,-3.9836,
273,Kismayo,SO,77.18,clear sky,-0.3582,42.5454,Agan-Hotel
276,Yanam,IN,77.0,scattered clouds,16.7333,82.2167,The Regency Hotel
280,East London,ZA,77.0,broken clouds,-33.0153,27.9116,Tu Casa
